,States and selected areas:  Employment status,"of the civilian noninstitutional population, January 1976 to date,"
463,"Oregon ......................     1,745,000","1,094,762      62.7       995,155      57.0       99,607      9.1"
464,"Pennsylvania ................     8,816,000","5,133,739      58.2     4,733,149      53.7      400,590      7.8"
465,"Rhode Island ................       697,000","437,500      62.8       401,806      57.6       35,694      8.2"
466,"South Carolina ..............     2,014,000","1,296,450      64.4     1,206,523      59.9       89,927      6.9"
467,"South Dakota ................       482,000","309,901      64.3       299,915      62.2        9,986      3.2"
468,"Tennessee ...................     3,122,000","1,876,977      60.1     1,764,092      56.5      112,885      6.0"
469,"Texas .......................     8,997,000","5,755,786      64.0     5,426,895      60.3      328,891      5.7"
470,"Utah ........................       840,000","531,187      63.2       502,237      59.8       28,950      5.5"
471,"Vermont .....................       344,000","217,539      63.2       199,763      58.1       17,776      8.2"
472,"Virginia ....................     3,590,000","2,346,485      65.4     2,209,333      61.5      137,152      5.8"
473,"Washington ..................     2,643,000","1,632,326      61.8     1,486,462      56.2      145,864      8.9"
474,"West Virginia ...............     1,371,000","693,315      50.6       644,460      47.0       48,855      7.0"
475,"Wisconsin ...................     3,272,000","2,152,299      65.8     2,036,363      62.2      115,936      5.4"
476,"Wyoming .....................       277,000","181,678      65.6       174,649      63.1        7,029      3.9"
477,,
478,,
479,,September 1976
480,,
481,,
482,"Alabama .....................     2,645,000","1,507,195      57.0     1,403,488      53.1      103,707      6.9"
483,"Alaska ......................       243,000","167,315      68.9       154,146      63.4       13,169      7.9"
484,"Arizona .....................     1,665,000","997,610      59.9       904,382      54.3       93,228      9.3"
485,"Arkansas ....................     1,552,000","898,178      57.9       838,703      54.0       59,475      6.6"
486,"California ..................    15,916,000","9,986,516      62.7     9,065,302      57.0      921,214      9.2"
487,"Los Angeles County .......     5,341,000","3,410,178      63.8     3,104,688      58.1      305,490      9.0"
488,"Colorado ....................     1,870,000","1,247,308      66.7     1,171,424      62.6       75,884      6.1"
489,"Connecticut .................     2,265,000","1,466,342      64.7     1,334,686      58.9      131,656      9.0"
490,"Delaware ....................       422,000","266,225      63.1       240,675      57.0       25,550      9.6"
491,"District of Columbia ........       516,000","331,749      64.3       301,823      58.5       29,926      9.0"
492,"Florida .....................     6,549,000","3,609,567      55.1     3,291,006      50.3      318,561      8.8"
493,"Georgia .....................     3,574,000","2,291,968      64.1     2,107,937      59.0      184,031      8.0"
494,"Hawaii ......................       596,000","410,045      68.8       373,983      62.7       36,062      8.8"
495,"Idaho .......................       594,000","378,402      63.7       357,094      60.1       21,308      5.6"
496,"Illinois ....................     8,200,000","5,161,664      62.9     4,819,299      58.8      342,365      6.6"
497,"Indiana .....................     3,823,000","2,449,803      64.1     2,310,374      60.4      139,429      5.7"
498,"Iowa ........................     2,089,000","1,347,685      64.5     1,296,091      62.0       51,594      3.8"
499,"Kansas ......................     1,653,000","1,078,836      65.3     1,034,308      62.6       44,528      4.1"
500,"Kentucky ....................     2,499,000","1,496,632      59.9     1,417,964      56.7       78,668      5.3"
501,"Louisiana ...................     2,723,000","1,538,809      56.5     1,430,467      52.5      108,342      7.0"
502,"Maine .......................       777,000","477,675      61.5       436,709      56.2       40,966      8.6"
503,"Maryland ....................     2,988,000","1,924,391      64.4     1,795,002      60.1      129,389      6.7"
504,"Massachusetts ...............     4,220,000","2,726,270      64.6     2,478,825      58.7      247,445      9.1"
505,"Michigan ....................     6,470,000","4,019,823      62.1     3,658,709      56.5      361,114      9.0"
506,"Minnesota ...................     2,823,000","1,867,208      66.1     1,759,571      62.3      107,637      5.8"
507,"Mississippi .................     1,665,000","976,927      58.7       913,422      54.9       63,505      6.5"
508,"Missouri ....................     3,497,000","2,150,007      61.5     2,011,687      57.5      138,320      6.4"
509,"Montana .....................       539,000","332,042      61.6       312,065      57.9       19,977      6.0"
510,"Nebraska ....................     1,104,000","722,566      65.4       699,705      63.4       22,861      3.2"
511,"Nevada ......................       469,000","333,660      71.1       304,702      65.0       28,958      8.7"
512,"New Hampshire ...............       606,000","402,257      66.4       376,996      62.2       25,261      6.3"
513,"New Jersey ..................     5,394,000","3,327,480      61.7     2,978,004      55.2      349,476     10.5"
514,"New Mexico ..................       815,000","487,267      59.8       444,136      54.5       43,131      8.9"
515,"New York ....................    13,233,000","7,702,135      58.2     6,912,814      52.2      789,321     10.2"
516,"New York city ............     5,672,000","3,096,874      54.6     2,752,637      48.5      344,237     11.1"
517,"North Carolina ..............     3,955,000","2,621,444      66.3     2,461,795      62.2      159,649      6.1"
518,"North Dakota ................       448,000","281,118      62.7       270,024      60.3       11,094      3.9"
519,"Ohio ........................     7,745,000","4,749,246      61.3     4,393,809      56.7      355,437      7.5"
520,"Oklahoma ....................     2,030,000","1,191,335      58.7     1,125,548      55.4       65,787      5.5"
521,"Oregon ......................     1,751,000","1,102,269      63.0     1,001,249      57.2      101,020      9.2"
522,"Pennsylvania ................     8,822,000","5,137,094      58.2     4,739,425      53.7      397,669      7.7"
523,"Rhode Island ................       698,000","438,160      62.8       401,912      57.6       36,248      8.3"
524,"South Carolina ..............     2,018,000","1,298,645      64.4     1,208,467      59.9       90,178      6.9"
525,"South Dakota ................       482,000","310,607      64.4       300,260      62.3       10,347      3.3"
526,"Tennessee ...................     3,129,000","1,886,495      60.3     1,770,818      56.6      115,677      6.1"
527,"Texas .......................     9,021,000","5,770,305      64.0     5,443,387      60.3      326,918      5.7"
528,"Utah ........................       842,000","533,344      63.3       504,388      59.9       28,956      5.4"
529,"Vermont .....................       345,000","218,206      63.2       200,706      58.2       17,500      8.0"
530,"Virginia ....................     3,598,000","2,348,914      65.3     2,211,644      61.5      137,270      5.8"
531,"Washington ..................     2,650,000","1,646,384      62.1     1,497,953      56.5      148,431      9.0"
532,"West Virginia ...............     1,374,000","691,711      50.3       645,060      46.9       46,651      6.7"
533,"Wisconsin ...................     3,276,000","2,156,519      65.8     2,040,019      62.3      116,500      5.4"
534,"Wyoming .....................       278,000","182,760      65.7       175,766      63.2        6,994      3.8"
535,,
536,,
537,,October 1976
538,,
539,,
540,"Alabama .....................     2,650,000","1,512,273      57.1     1,406,391      53.1      105,882      7.0"
541,"Alaska ......................       244,000","167,786      68.8       154,152      63.2       13,634      8.1"
542,"Arizona .....................     1,671,000","1,001,958      60.0       908,289      54.4       93,669      9.3"
543,"Arkansas ....................     1,555,000","901,736      58.0       842,429      54.2       59,307      6.6"
544,"California ..................    15,954,000","10,021,070      62.8     9,087,546      57.0      933,524      9.3"
545,"Los Angeles County .......     5,346,000","3,413,203      63.8     3,104,514      58.1      308,689      9.0"
546,"Colorado ....................     1,876,000","1,254,476      66.9     1,176,908      62.7       77,568      6.2"
547,"Connecticut .................     2,267,000","1,466,512      64.7     1,338,099      59.0      128,413      8.8"
548,"Delaware ....................       423,000","266,885      63.1       240,999      57.0       25,886      9.7"
549,"District of Columbia ........       516,000","330,917      64.1       300,722      58.3       30,195      9.1"
550,"Florida .....................     6,567,000","3,610,341      55.0     3,289,260      50.1      321,081      8.9"
551,"Georgia .....................     3,582,000","2,299,129      64.2     2,112,216      59.0      186,913      8.1"
552,"Hawaii ......................       597,000","410,397      68.7       374,963      62.8       35,434      8.6"
553,"Idaho .......................       595,000","380,331      63.9       358,882      60.3       21,449      5.6"
554,"Illinois ....................     8,209,000","5,162,302      62.9     4,822,883      58.8      339,419      6.6"
555,"Indiana .....................     3,828,000","2,451,113      64.0     2,309,792      60.3      141,321      5.8"
556,"Iowa ........................     2,091,000","1,351,904      64.7     1,299,667      62.2       52,237      3.9"
557,"Kansas ......................     1,655,000","1,081,610      65.4     1,036,798      62.6       44,812      4.1"
558,"Kentucky ....................     2,503,000","1,498,091      59.9     1,420,505      56.8       77,586      5.2"
559,"Louisiana ...................     2,729,000","1,539,587      56.4     1,431,362      52.5      108,225      7.0"
560,"Maine .......................       778,000","478,254      61.5       436,721      56.1       41,533      8.7"
561,"Maryland ....................     2,993,000","1,928,737      64.4     1,798,409      60.1      130,328      6.8"
562,"Massachusetts ...............     4,224,000","2,727,715      64.6     2,483,762      58.8      243,953      8.9"
563,"Michigan ....................     6,477,000","4,025,048      62.1     3,664,565      56.6      360,483      9.0"
564,"Minnesota ...................     2,827,000","1,873,748      66.3     1,764,368      62.4      109,380      5.8"
565,"Mississippi .................     1,667,000","978,191      58.7       913,363      54.8       64,828      6.6"
566,"Missouri ....................     3,501,000","2,155,677      61.6     2,014,721      57.5      140,956      6.5"
567,"Montana .....................       540,000","334,208      61.9       314,062      58.2       20,146      6.0"
568,"Nebraska ....................     1,105,000","724,723      65.6       701,674      63.5       23,049      3.2"
569,"Nevada ......................       471,000","334,967      71.1       305,782      64.9       29,185      8.7"
570,"New Hampshire ...............       608,000","403,897      66.4       378,609      62.3       25,288      6.3"
571,"New Jersey ..................     5,398,000","3,333,000      61.7     2,980,622      55.2      352,378     10.6"
572,"New Mexico ..................       818,000","490,190      59.9       446,616      54.6       43,574      8.9"
573,"New York ....................    13,234,000","7,688,549      58.1     6,901,865      52.2      786,684     10.2"
574,"New York city ............     5,666,000","3,087,989      54.5     2,747,113      48.5      340,876     11.0"
575,"North Carolina ..............     3,963,000","2,621,194      66.1     2,458,088      62.0      163,106      6.2"
576,"North Dakota ................       449,000","281,650      62.7       270,311      60.2       11,339      4.0"
577,"Ohio ........................     7,752,000","4,756,134      61.4     4,398,147      56.7      357,987      7.5"
578,"Oklahoma ....................     2,034,000","1,193,855      58.7     1,128,675      55.5       65,180      5.5"
579,"Oregon ......................     1,756,000","1,109,712      63.2     1,007,315      57.4      102,397      9.2"
580,"Pennsylvania ................     8,828,000","5,142,875      58.3     4,743,412      53.7      399,463      7.8"
581,"Rhode Island ................       699,000","439,074      62.8       402,211      57.5       36,863      8.4"
582,"South Carolina ..............     2,023,000","1,300,986      64.3     1,210,147      59.8       90,839      7.0"
583,"South Dakota ................       483,000","311,465      64.5       300,795      62.3       10,670      3.4"
584,"Tennessee ...................     3,135,000","1,893,764      60.4     1,775,429      56.6      118,335      6.2"
585,"Texas .......................     9,044,000","5,785,215      64.0     5,458,404      60.4      326,811      5.6"
586,"Utah ........................       845,000","535,313      63.4       506,233      59.9       29,080      5.4"
587,"Vermont .....................       345,000","218,913      63.5       201,608      58.4       17,305      7.9"
588,"Virginia ....................     3,605,000","2,351,902      65.2     2,214,527      61.4      137,375      5.8"
589,"Washington ..................     2,657,000","1,658,773      62.4     1,507,876      56.8      150,897      9.1"
590,"West Virginia ...............     1,376,000","692,129      50.3       646,500      47.0       45,629      6.6"
591,"Wisconsin ...................     3,281,000","2,159,523      65.8     2,042,602      62.3      116,921      5.4"
592,"Wyoming .....................       279,000","183,877      65.9       176,869      63.4        7,008      3.8"
593,,
594,,
595,,November 1976
596,,
597,,
598,"Alabama .....................     2,654,000","1,518,265      57.2     1,409,707      53.1      108,558      7.2"
599,"Alaska ......................       244,000","168,112      68.9       154,038      63.1       14,074      8.4"
600,"Arizona .....................     1,678,000","1,006,303      60.0       912,353      54.4       93,950      9.3"
601,"Arkansas ....................     1,558,000","905,458      58.1       845,924      54.3       59,534      6.6"
602,"California ..................    15,991,000","10,056,309      62.9     9,115,173      57.0      941,136      9.4"
603,"Los Angeles County .......     5,351,000","3,416,071      63.8     3,106,077      58.0      309,994      9.1"
604,"Colorado ....................     1,881,000","1,261,663      67.1     1,182,382      62.9       79,281      6.3"
605,"Connecticut .................     2,270,000","1,466,636      64.6     1,341,376      59.1      125,260      8.5"
606,"Delaware ....................       424,000","267,699      63.1       241,581      57.0       26,118      9.8"
607,"District of Columbia ........       515,000","330,384      64.2       300,006      58.3       30,378      9.2"
608,"Florida .....................     6,584,000","3,611,946      54.9     3,288,007      49.9      323,939      9.0"
609,"Georgia .....................     3,590,000","2,305,572      64.2     2,116,165      58.9      189,407      8.2"
610,"Hawaii ......................       599,000","411,212      68.6       376,165      62.8       35,047      8.5"
611,"Idaho .......................       597,000","382,213      64.0       360,540      60.4       21,673      5.7"
612,"Illinois ....................     8,218,000","5,163,967      62.8     4,830,097      58.8      333,870      6.5"
613,"Indiana .....................     3,833,000","2,450,735      63.9     2,307,827      60.2      142,908      5.8"
614,"Iowa ........................     2,093,000","1,356,197      64.8     1,303,223      62.3       52,974      3.9"
615,"Kansas ......................     1,658,000","1,084,558      65.4     1,039,285      62.7       45,273      4.2"
616,"Kentucky ....................     2,507,000","1,501,132      59.9     1,424,211      56.8       76,921      5.1"
617,"Louisiana ...................     2,734,000","1,540,432      56.3     1,432,371      52.4      108,061      7.0"
618,"Maine .......................       780,000","479,045      61.4       436,837      56.0       42,208      8.8"
619,"Maryland ....................     2,997,000","1,934,119      64.5     1,802,323      60.1      131,796      6.8"
620,"Massachusetts ...............     4,227,000","2,729,521      64.6     2,488,634      58.9      240,887      8.8"
621,"Michigan ....................     6,485,000","4,030,981      62.2     3,669,679      56.6      361,302      9.0"
622,"Minnesota ...................     2,831,000","1,879,929      66.4     1,769,422      62.5      110,507      5.9"
623,"Mississippi .................     1,670,000","979,334      58.6       913,286      54.7       66,048      6.7"
624,"Missouri ....................     3,505,000","2,159,828      61.6     2,017,377      57.6      142,451      6.6"
625,"Montana .....................       542,000","336,362      62.1       316,059      58.3       20,303      6.0"
626,"Nebraska ....................     1,106,000","727,025      65.7       703,839      63.6       23,186      3.2"
627,"Nevada ......................       474,000","336,500      71.0       307,230      64.8       29,270      8.7"
628,"New Hampshire ...............       610,000","405,574      66.5       380,131      62.3       25,443      6.3"
629,"New Jersey ..................     5,403,000","3,340,512      61.8     2,984,304      55.2      356,208     10.7"
630,"New Mexico ..................       820,000","493,404      60.2       449,423      54.8       43,981      8.9"
631,"New York ....................    13,235,000","7,675,643      58.0     6,894,001      52.1      781,642     10.2"
632,"New York city ............     5,660,000","3,079,964      54.4     2,742,843      48.5      337,121     10.9"
633,"North Carolina ..............     3,971,000","2,620,587      66.0     2,454,684      61.8      165,903      6.3"
634,"North Dakota ................       449,000","282,162      62.8       270,530      60.3       11,632      4.1"
635,"Ohio ........................     7,759,000","4,766,906      61.4     4,404,513      56.8      362,393      7.6"
636,"Oklahoma ....................     2,038,000","1,197,127      58.7     1,132,416      55.6       64,711      5.4"
637,"Oregon ......................     1,761,000","1,116,657      63.4     1,013,272      57.5      103,385      9.3"
638,"Pennsylvania ................     8,835,000","5,151,900      58.3     4,746,421      53.7      405,479      7.9"
639,"Rhode Island ................       700,000","440,216      62.9       402,792      57.5       37,424      8.5"
640,"South Carolina ..............     2,027,000","1,303,828      64.3     1,211,696      59.8       92,132      7.1"
641,"South Dakota ................       483,000","312,408      64.7       301,469      62.4       10,939      3.5"
642,"Tennessee ...................     3,142,000","1,899,808      60.5     1,778,618      56.6      121,190      6.4"
643,"Texas .......................     9,067,000","5,802,339      64.0     5,473,608      60.4      328,731      5.7"
644,"Utah ........................       847,000","537,110      63.4       507,863      60.0       29,247      5.4"
645,"Vermont .....................       346,000","219,711      63.5       202,505      58.5       17,206      7.8"
646,"Virginia ....................     3,612,000","2,356,042      65.2     2,218,468      61.4      137,574      5.8"
647,"Washington ..................     2,664,000","1,668,192      62.6     1,515,113      56.9      153,079      9.2"
648,"West Virginia ...............     1,378,000","694,617      50.4       648,788      47.1       45,829      6.6"
649,"Wisconsin ...................     3,286,000","2,162,094      65.8     2,044,548      62.2      117,546      5.4"
650,"Wyoming .....................       280,000","185,035      66.1       177,991      63.6        7,044      3.8"
651,,
652,,
653,,December 1976
654,,
655,,
656,"Alabama .....................     2,659,000","1,525,568      57.4     1,413,734      53.2      111,834      7.3"
657,"Alaska ......................       245,000","168,532      68.8       153,983      62.9       14,549      8.6"
658,"Arizona .....................     1,684,000","1,010,700      60.0       916,965      54.5       93,735      9.3"
659,"Arkansas ....................     1,561,000","909,232      58.2       849,277      54.4       59,955      6.6"
660,"California ..................    16,029,000","10,093,699      63.0     9,151,973      57.1      941,726      9.3"
661,"Los Angeles County .......     5,356,000","3,419,475      63.8     3,110,815      58.1      308,660      9.0"
662,"Colorado ....................     1,887,000","1,268,361      67.2     1,187,185      62.9       81,176      6.4"
663,"Connecticut .................     2,272,000","1,467,455      64.6     1,345,228      59.2      122,227      8.3"
664,"Delaware ....................       424,000","268,702      63.4       242,498      57.2       26,204      9.8"
665,"District of Columbia ........       515,000","330,202      64.1       299,736      58.2       30,466      9.2"
666,"Florida .....................     6,602,000","3,616,376      54.8     3,289,929      49.8      326,447      9.0"
667,"Georgia .....................     3,597,000","2,310,617      64.2     2,120,759      59.0      189,858      8.2"
668,"Hawaii ......................       600,000","412,337      68.7       377,575      62.9       34,762      8.4"
669,"Idaho .......................       599,000","384,086      64.1       362,126      60.5       21,960      5.7"
670,"Illinois ....................     8,226,000","5,169,396      62.8     4,842,649      58.9      326,747      6.3"
671,"Indiana .....................     3,837,000","2,449,848      63.8     2,306,491      60.1      143,357      5.9"
672,"Iowa ........................     2,095,000","1,360,512      64.9     1,306,982      62.4       53,530      3.9"
673,"Kansas ......................     1,660,000","1,087,670      65.5     1,042,019      62.8       45,651      4.2"
674,"Kentucky ....................     2,511,000","1,506,093      60.0     1,429,442      56.9       76,651      5.1"
675,"Louisiana ...................     2,740,000","1,542,754      56.3     1,434,769      52.4      107,985      7.0"
676,"Maine .......................       781,000","479,906      61.4       437,133      56.0       42,773      8.9"
677,"Maryland ....................     3,002,000","1,940,048      64.6     1,807,161      60.2      132,887      6.8"
678,"Massachusetts ...............     4,231,000","2,732,178      64.6     2,494,193      59.0      237,985      8.7"
679,"Michigan ....................     6,493,000","4,037,844      62.2     3,676,377      56.6      361,467      9.0"
680,"Minnesota ...................     2,835,000","1,885,780      66.5     1,774,870      62.6      110,910      5.9"
681,"Mississippi .................     1,673,000","980,687      58.6       913,359      54.6       67,328      6.9"
682,"Missouri ....................     3,509,000","2,163,567      61.7     2,021,522      57.6      142,045      6.6"
683,"Montana .....................       543,000","338,284      62.3       317,850      58.5       20,434      6.0"
684,"Nebraska ....................     1,107,000","729,311      65.9       706,015      63.8       23,296      3.2"
685,"Nevada ......................       476,000","338,319      71.1       309,221      65.0       29,098      8.6"
686,"New Hampshire ...............       612,000","407,358      66.6       381,741      62.4       25,617      6.3"
687,"New Jersey ..................     5,407,000","3,349,255      61.9     2,990,493      55.3      358,762     10.7"
688,"New Mexico ..................       823,000","496,647      60.3       452,508      55.0       44,139      8.9"
689,"New York ....................    13,237,000","7,669,179      57.9     6,893,647      52.1      775,532     10.1"
690,"New York city ............     5,654,000","3,073,767      54.4     2,740,868      48.5      332,899     10.8"
691,"North Carolina ..............     3,978,000","2,621,032      65.9     2,454,099      61.7      166,933      6.4"
692,"North Dakota ................       450,000","282,737      62.8       270,773      60.2       11,964      4.2"
693,"Ohio ........................     7,766,000","4,778,882      61.5     4,414,046      56.8      364,836      7.6"
694,"Oklahoma ....................     2,041,000","1,201,436      58.9     1,136,974      55.7       64,462      5.4"
695,"Oregon ......................     1,766,000","1,122,897      63.6     1,019,266      57.7      103,631      9.2"
696,"Pennsylvania ................     8,841,000","5,162,158      58.4     4,750,182      53.7      411,976      8.0"
697,"Rhode Island ................       701,000","441,431      63.0       403,615      57.6       37,816      8.6"
698,"South Carolina ..............     2,032,000","1,307,111      64.3     1,213,389      59.7       93,722      7.2"
699,"South Dakota ................       484,000","313,261      64.7       302,143      62.4       11,118      3.5"
700,"Tennessee ...................     3,148,000","1,905,599      60.5     1,781,712      56.6      123,887      6.5"
701,"Texas .......................     9,091,000","5,821,892      64.0     5,490,841      60.4      331,051      5.7"
702,"Utah ........................       850,000","538,754      63.4       509,397      59.9       29,357      5.4"
703,"Vermont .....................       347,000","220,626      63.6       203,448      58.6       17,178      7.8"
704,"Virginia ....................     3,620,000","2,361,415      65.2     2,223,892      61.4      137,523      5.8"
705,"Washington ..................     2,671,000","1,674,146      62.7     1,519,467      56.9      154,679      9.2"
706,"West Virginia ...............     1,381,000","698,445      50.6       651,700      47.2       46,745      6.7"
707,"Wisconsin ...................     3,290,000","2,164,612      65.8     2,046,702      62.2      117,910      5.4"
708,"Wyoming .....................       281,000","186,250      66.3       179,158      63.8        7,092      3.8"
709,,
710,,
711,,January 1977
712,,
713,,
714,"Alabama .....................     2,663,000","1,534,383      57.6     1,418,860      53.3      115,523      7.5"
715,"Alaska ......................       245,000","169,181      69.1       154,120      62.9       15,061      8.9"
716,"Arizona .....................     1,690,000","1,015,516      60.1       922,428      54.6       93,088      9.2"
717,"Arkansas ....................     1,565,000","912,948      58.3       852,573      54.5       60,375      6.6"
718,"California ..................    16,066,000","10,135,878      63.1     9,199,971      57.3      935,907      9.2"
719,"Los Angeles County .......     5,362,000","3,424,738      63.9     3,119,839      58.2      304,899      8.9"
720,"Colorado ....................     1,892,000","1,274,428      67.4     1,191,307      63.0       83,121      6.5"
721,"Connecticut .................     2,274,000","1,469,625      64.6     1,350,365      59.4      119,260      8.1"
722,"Delaware ....................       425,000","269,870      63.5       243,757      57.4       26,113      9.7"
723,"District of Columbia ........       515,000","330,333      64.1       299,853      58.2       30,480      9.2"
724,"Florida .....................     6,619,000","3,626,043      54.8     3,297,602      49.8      328,441      9.1"
725,"Georgia .....................     3,605,000","2,314,596      64.2     2,126,893      59.0      187,703      8.1"
726,"Hawaii ......................       601,000","413,616      68.8       379,133      63.1       34,483      8.3"
727,"Idaho .......................       601,000","385,903      64.2       363,669      60.5       22,234      5.8"
728,"Illinois ....................     8,235,000","5,181,856      62.9     4,861,433      59.0      320,423      6.2"
729,"Indiana .....................     3,842,000","2,450,849      63.8     2,307,840      60.1      143,009      5.8"
730,"Iowa ........................     2,098,000","1,364,841      65.1     1,311,092      62.5       53,749      3.9"
731,"Kansas ......................     1,662,000","1,090,992      65.6     1,045,175      62.9       45,817      4.2"
732,"Kentucky ....................     2,516,000","1,512,702      60.1     1,436,071      57.1       76,631      5.1"
733,"Louisiana ...................     2,745,000","1,547,949      56.4     1,439,858      52.5      108,091      7.0"
734,"Maine .......................       782,000","480,715      61.5       437,681      56.0       43,034      9.0"
735,"Maryland ....................     3,006,000","1,946,311      64.7     1,813,119      60.3      133,192      6.8"
736,"Massachusetts ...............     4,234,000","2,736,372      64.6     2,501,143      59.1      235,229      8.6"
737,"Michigan ....................     6,501,000","4,046,562      62.2     3,686,679      56.7      359,883      8.9"
738,"Minnesota ...................     2,839,000","1,891,668      66.6     1,780,883      62.7      110,785      5.9"
739,"Mississippi .................     1,676,000","982,645      58.6       913,814      54.5       68,831      7.0"
740,"Missouri ....................     3,513,000","2,169,076      61.7     2,028,693      57.7      140,383      6.5"
741,"Montana .....................       544,000","340,045      62.5       319,466      58.7       20,579      6.1"
742,"Nebraska ....................     1,108,000","731,511      66.0       708,070      63.9       23,441      3.2"
743,"Nevada ......................       478,000","340,412      71.2       311,743      65.2       28,669      8.4"
744,"New Hampshire ...............       614,000","409,306      66.7       383,572      62.5       25,734      6.3"
745,"New Jersey ..................     5,411,000","3,358,839      62.1     3,000,405      55.5      358,434     10.7"
746,"New Mexico ..................       825,000","499,717      60.6       455,837      55.3       43,880      8.8"
747,"New York ....................    13,238,000","7,673,859      58.0     6,903,917      52.2      769,942     10.0"
748,"New York city ............     5,649,000","3,069,810      54.3     2,741,475      48.5      328,335     10.7"
749,"North Carolina ..............     3,986,000","2,624,989      65.9     2,458,498      61.7      166,491      6.3"
750,"North Dakota ................       450,000","283,410      63.0       271,131      60.3       12,279      4.3"
751,"Ohio ........................     7,773,000","4,790,642      61.6     4,427,206      57.0      363,436      7.6"
752,"Oklahoma ....................     2,045,000","1,207,089      59.0     1,142,411      55.9       64,678      5.4"
753,"Oregon ......................     1,772,000","1,128,671      63.7     1,025,657      57.9      103,014      9.1"
754,"Pennsylvania ................     8,847,000","5,172,352      58.5     4,756,572      53.8      415,780      8.0"
755,"Rhode Island ................       701,000","442,452      63.1       404,540      57.7       37,912      8.6"
756,"South Carolina ..............     2,036,000","1,310,962      64.4     1,215,633      59.7       95,329      7.3"
757,"South Dakota ................       484,000","313,955      64.9       302,761      62.6       11,194      3.6"
758,"Tennessee ...................     3,154,000","1,912,142      60.6     1,786,066      56.6      126,076      6.6"
759,"Texas .......................     9,114,000","5,843,715      64.1     5,511,563      60.5      332,152      5.7"
760,"Utah ........................       852,000","540,348      63.4       510,947      60.0       29,401      5.4"
761,"Vermont .....................       348,000","221,659      63.7       204,503      58.8       17,156      7.7"
762,"Virginia ....................     3,627,000","2,368,365      65.3     2,231,138      61.5      137,227      5.8"
763,"Washington ..................     2,678,000","1,677,365      62.6     1,521,761      56.8      155,604      9.3"
764,"West Virginia ...............     1,383,000","702,587      50.8       654,711      47.3       47,876      6.8"
765,"Wisconsin ...................     3,295,000","2,167,953      65.8     2,050,089      62.2      117,864      5.4"
766,"Wyoming .....................       282,000","187,531      66.5       180,397      64.0        7,134      3.8"
767,,
768,,
769,,February 1977
770,,
771,,
772,"Alabama .....................     2,668,000","1,544,075      57.9     1,425,097      53.4      118,978      7.7"
773,"Alaska ......................       246,000","170,041      69.1       154,450      62.8       15,591      9.2"
774,"Arizona .....................     1,697,000","1,020,831      60.2       928,840      54.7       91,991      9.0"
775,"Arkansas ....................     1,568,000","916,485      58.4       855,865      54.6       60,620      6.6"
776,"California ..................    16,104,000","10,181,728      63.2     9,257,211      57.5      924,517      9.1"
777,"Los Angeles County .......     5,367,000","3,431,776      63.9     3,132,652      58.4      299,124      8.7"
778,"Colorado ....................     1,898,000","1,279,809      67.4     1,195,055      63.0       84,754      6.6"
779,"Connecticut .................     2,276,000","1,472,815      64.7     1,356,636      59.6      116,179      7.9"
780,"Delaware ....................       426,000","271,090      63.6       245,257      57.6       25,833      9.5"
781,"District of Columbia ........       514,000","330,583      64.3       300,117      58.4       30,466      9.2"
782,"Florida .....................     6,637,000","3,640,399      54.9     3,311,630      49.9      328,769      9.0"
783,"Georgia .....................     3,613,000","2,317,645      64.1     2,134,643      59.1      183,002      7.9"
784,"Hawaii ......................       603,000","414,902      68.8       380,730      63.1       34,172      8.2"
785,"Idaho .......................       603,000","387,656      64.3       365,219      60.6       22,437      5.8"
786,"Illinois ....................     8,244,000","5,201,026      63.1     4,884,765      59.3      316,261      6.1"
787,"Indiana .....................     3,847,000","2,455,042      63.8     2,312,544      60.1      142,498      5.8"
788,"Iowa ........................     2,100,000","1,368,874      65.2     1,315,260      62.6       53,614      3.9"
789,"Kansas ......................     1,664,000","1,094,388      65.8     1,048,656      63.0       45,732      4.2"
790,"Kentucky ....................     2,520,000","1,519,806      60.3     1,443,414      57.3       76,392      5.0"
791,"Louisiana ...................     2,751,000","1,556,163      56.6     1,447,930      52.6      108,233      7.0"
792,"Maine .......................       784,000","481,378      61.4       438,409      55.9       42,969      8.9"
793,"Maryland ....................     3,011,000","1,952,130      64.8     1,819,863      60.4      132,267      6.8"
794,"Massachusetts ...............     4,238,000","2,741,918      64.7     2,509,691      59.2      232,227      8.5"
795,"Michigan ....................     6,508,000","4,056,627      62.3     3,700,838      56.9      355,789      8.8"
796,"Minnesota ...................     2,844,000","1,897,597      66.7     1,787,467      62.9      110,130      5.8"
797,"Mississippi .................     1,678,000","985,112      58.7       914,769      54.5       70,343      7.1"
798,"Missouri ....................     3,517,000","2,177,301      61.9     2,038,976      58.0      138,325      6.4"
799,"Montana .....................       545,000","341,605      62.7       320,845      58.9       20,760      6.1"
800,"Nebraska ....................     1,110,000","733,589      66.1       709,927      64.0       23,662      3.2"
801,"Nevada ......................       481,000","342,653      71.2       314,641      65.4       28,012      8.2"
802,"New Hampshire ...............       617,000","411,302      66.7       385,621      62.5       25,681      6.2"
803,"New Jersey ..................     5,416,000","3,368,520      62.2     3,013,869      55.6      354,651     10.5"
804,"New Mexico ..................       828,000","502,636      60.7       459,365      55.5       43,271      8.6"
805,"New York ....................    13,239,000","7,685,946      58.1     6,923,761      52.3      762,185      9.9"
